0 0.504376
1000 0.161826
2000 0.118108
3000 0.120659
4000 0.109925
5000 0.107755
6000 0.0921959
7000 0.0892026
8000 0.228126
9000 0.0879619
10000 0.0915256
11000 0.082685
12000 0.0857735
13000 0.0798488
14000 0.0855468
15000 0.0865443
16000 0.195207
17000 0.0513675
18000 0.0949042
19000 0.167087
20000 0.0121294
21000 0.00266072
22000 0.000768881
23000 0.000466079
24000 0.000325935
25000 0.000250328
26000 0.000195478
27000 0.00016304
28000 0.000138369
29000 0.000120855
30000 0.000106704
31000 9.58122e-05
